End of Period,Cash on Hand,Due from Central Bank,Due from Domestic Banks,Cash Items in Process of Collection,Foreign Currency on Hand and Balances Due from Banks,Investments_Govt.of Sri Lanka_Treasury Bills,Investments_Govt.of Sri Lanka_Treasury Bonds (b),Investments_Govt.of Sri Lanka_Other Govt. of Sri Lanka Securities,Investments_Other Investments (c),Loans and Advances_Bills Purchased and Discounted_Local,Loans and Advances_Bills Purchased and Discounted_Imports,Loans and Advances_Bills Purchased and Discounted_Exports,Loans and Advances_Overdrafts,Loans and Advances_Loans,Loans and Advances_Total Loans and Advance (b),Fixed and Other Assets,Total Assets or Liabilities,Percentage of Liquid Assets to Demand Deposits,Percentage of Loans & Advances to Total Deposits
2014-10-01,84947.070113,173460.782428,30186.416194,13613.232889,209538.344566,239713.641018,509846.913905,158599.723212,71054.510186,788.970366,25821.157975,16475.174326,571360.027484,2077306.097336,2691751.427487,527786.09473,4710498.156728,415.4239157352181,76.0858757820792
2014-11-01,83759.61894,165241.584018,28949.696433,14063.634609,204936.518402,246644.040297,519028.416026,159208.464412,76827.457946,963.01327,24555.99258,16496.966916,576966.9898,2122042.274674,2741025.23724,523285.773956,4762970.442279,400.75621653978783,76.48571116326241
2014-12-01,87468.882394,164427.674248,43810.100713,14831.186914,196950.171435,262049.45655941,557378.471104,161593.795839,82615.900184,780.131043,25326.452588,16473.620916,531877.557245,2202030.438189,2776488.199981,508326.174543,4855940.01391441,386.288178035399,76.2590596664742
2015-01-01,85606.752464,169217.37686,40183.544888,13815.681659,211330.875851,255106.142512,501140.24161,166048.925142,85460.131651,1048.645603,24564.261527,15862.292675,561554.012312,2218335.958341,2821365.170458,524586.802469,4873861.645564,394.0269355849792,77.39763538963741
2015-02-01,83960.750741,165376.924412,38936.907825,14317.886813,230743.113817,317208.364323,502234.464105,166308.19265,85742.903133,979.147589,25202.996065,15682.599939,561335.60049,2244476.224029,2847676.568112,434657.085271,4887163.161202,431.15898079771,77.57616481436318
2015-03-01,108147.415703,180138.785706,63754.391236,14116.229303,218022.016804,333528.186326,480435.154316,163876.038096,86026.896671,1026.221474,26941.815339,16394.271509,589479.519703,2289787.493758,2923629.3217829997,370633.051093,4942307.487036999,407.5800069532027,78.54348923053641
2015-04-01,101471.174103,210734.093651,105907.920817,14611.443394,223976.292106,312552.208524,516023.981133,180078.02499,88210.608306,1090.460159,28159.685363,14935.57355,555872.998204,2309138.320009,2909197.037285,319642.783,4982405.567309,420.5231949585869,77.13722126952219
2015-05-01,91717.527572,174025.928644,107558.854704,14361.161851,254752.849378,335684.50126,541986.132076,183351.455874,89600.77567,1074.794031,27247.421132,14941.15388,560454.343729,2352992.009749,2956709.722521,309769.010342,5059517.919892,429.27405906321343,77.23174744947052
2015-06-01,95318.627833,197034.529204,56028.426134,15009.212738,250022.475469,308744.040605,569757.297368,196888.178561,93347.895903,763.317017,26731.816124,15519.734922,561128.191284,2411222.169372,3015365.228719,309603.302063,5107119.214597,441.8031406388154,77.86828248465133
2015-07-01,96317.095317,194055.120747,56703.540552,15003.84221,270418.525075,297347.140256,554160.077838,213696.676268,96994.010847,840.818364,26354.92645,13287.357307,577845.207273,2464643.356216,3082971.66561,283139.229353,5160806.9240729995,438.03375478291395,78.69575981234651
2015-08-01,102158.999651,175477.7792,54798.275729,14883.162331,284732.24179,285146.594768,538706.878501,213642.186942,99086.40074,660.728021,26011.849112,13956.600181,583806.684376,2528530.980621,3152966.8423109995,286344.958276,5207944.320239,416.0219320893173,79.18221436835606
2015-09-01,104798.073321,191184.562196,67738.869779,15596.47213,292427.824542,363545.714341,400943.178873,222217.38664,103080.900152,398.586717,27178.986236,13931.48647,596096.011417,2602446.015451,3240051.0862910002,294982.30677,5296566.375035,406.6288634971738,80.420361037932
2015-11-01,102797.160925,210833.047717,110966.956291,16001.621,317179.215829,327939.497327,414112.372255,235078.660457,121155.182358,882.94191,26319.693023,14661.700507,583304.744434,2803236.43336,3428405.513234,309751.799,5594221.026392999,389.6582808387653,81.93562466643081
2015-12-01,103643.234688,199646.140246,80582.049013,17590.716332,359740.316362,325001.227738,505207.610972,236284.910511,123467.647372,483.980216,4753.864302,13790.96323,605893.174021,2852730.638079,3477652.6198480004,269705.574741,5698522.047823001,389.3218229651441,81.07246538590462
2016-01-01,100184.100036,248547.633667,47301.930022,17009.631824,407468.883625,291026.401547,502802.35484,225135.040655,123641.006816,838.348154,4747.600503,13133.819665,656428.190721,2865286.385624,3540434.3446669998,258484.065425,5762035.393124,423.96423428956274,81.16279952445574
2016-02-01,108617.707713,253834.786531,62490.989793,17128.448108,401535.81667,248269.043933,525252.834018,244076.537063,125614.904426,934.853249,5704.602543,12565.480782,649785.00576,2917083.118144,3586073.060478,264830.088342,5837724.217075,417.1933843953757,81.09070322698778
2016-03-01,137806.698752,250759.389657,45492.503713,17601.926922,387014.036984,243356.269414,515622.282886,262881.847282,123993.32428,965.908569,5337.151755,12759.119584,664281.085614,2994213.771943,3677557.037465,266746.621549,5928831.938904,413.00163347037824,82.47039349481022
2016-04-01,123770.510973,244305.689723,63754.66588,16912.388322,399020.247561,225524.973753,540693.680693,270479.785148,125249.506099,1049.42005,6165.047244,10088.223052,654752.48449,3021036.139241,3693091.314077,273522.01197,5976324.774199001,418.3418033165323,81.99442746130376
2016-05-01,116840.742858,229533.232304,54181.285337,17984.772292,400596.245139,204161.781213,587791.809001,274733.680479,124751.343015,778.988115,6544.898359,9641.804946,647448.156605,3071180.285704,3735594.133729,255991.053233,6002160.0786,425.5063461716161,82.65169658250137
2016-06-01,114763.303179,258229.667107,39170.518091,16171.878319,372589.531401,238978.674078,572556.940748,258542.665388,120453.11053,1023.585993,5919.5136,10337.340455,647857.880904,3132715.243487,3797853.564439,256431.423256,6045741.276536,436.1036763433816,83.32506465917892
2016-07-01,111372.35498,260213.991702,48498.131589,16227.669521,404064.9218,275333.794876,584623.776209,260264.382753,118137.524742,1278.140483,5412.850499,12002.410266,626330.839136,3191769.800378,3836794.040762,223963.188759,6139493.777693001,459.6391301362175,82.79188235626187
2016-08-01,119039.51605,277068.384929,45728.50472,16921.20222,406248.68937,293850.034352,615990.626488,242722.018402,117573.802377,1038.996281,5825.279041,13755.839121,621718.23128,3228633.976014,3870972.321737,183254.712283,6189369.812928,486.3456867547215,82.75325111128359
2016-09-01,116537.375,273498.358257,50860.728002,18881.711367,410408.838238,279857.163493,616295.401656,241230.407283,121107.373818,1345.829536,5570.653107,14507.482638,649424.011481,3284143.173394,3954991.150156,228253.87089,6311922.37816,463.2451740682028,82.5097723244674
2016-10-01,112922.352384,282755.450439,43023.018795,17239.997535,392460.933908,269031.917921,641427.331495,243429.416507,123244.594277,1236.768336,5456.991447,14453.525576,680389.127951,3352324.964727,4053861.378037,216284.199913,6395680.5912109995,463.393581333278,83.37972049000165
2016-11-01,113646.156054,288610.365413,44735.655701,17622.869526,405564.992457,248070.279246,665541.107453,242005.290847,124113.218529,1240.190739,5432.067669,13580.095569,706164.802438,3405764.348843,4132181.505258,211608.557705,6493699.998189,469.8945695226788,83.60711498737768
2016-12-01,123276.039348,308671.029765,74812.943439,20288.832025,432932.550366,227517.117126,692336.229171,244968.805681,117208.866828,1406.519109,4785.173796,13870.998607,707017.974084,3478638.48519,4205719.150786,234849.926685,6682581.491219999,445.6384723896414,82.82352513610387
2017-01-01,125753.81622,296979.441066,36382.226446,21411.04572,416883.622957,341493.897317,686958.882157,251960.345493,119060.558373,1686.39056,6740.261006,13214.418839,736324.598363,3474906.504443,4232872.173211,225049.139177,6754805.148137,486.7606857617806,82.45085538069557
2017-02-01,130585.067283,301055.682515,51627.113528,20923.906254,434691.003983,341102.547125,676755.041481,255551.42342,118906.396033,2468.491102,7236.984943,13826.68573,769428.495352,3518519.674231,4311480.331358,224238.111117,6866916.624097,499.9750855232727,82.67958549144532
2017-03-01,140154.221669,318154.624054,54808.952637,19813.891655,426718.938055,315578.419705,680556.08935,252962.860818,114260.490533,2144.308756,7366.670092,13995.650688,770483.438499,3620780.618418,4414770.686453,238295.150004,6976074.324933001,486.7965181534779,82.75716386607805
2017-04-01,145597.666719,312265.882208,56729.594357,20058.351033,485489.965466,301571.581169,686255.265415,243211.854165,116569.983039,1567.876015,6672.050995,12904.656138,783208.156578,3635208.906433,4439561.646159001,248733.096201,7056044.885931001,512.3644501077176,82.2689389138286
2017-05-01,141035.31975,306689.53547,62656.769691,18468.087846,478232.474265,352456.812953,721501.100198,280408.215644,116702.735509,1756.818034,7819.422906,14340.980703,783399.128103,3667522.237497,4474838.587243,202014.833201,7155004.47177,535.9068118134325,81.5532068137748
2017-06-01,136646.733393,334612.824643,33625.576189,20242.510053,480569.926699,400547.638697,636215.773217,290615.50281,118342.6624,1575.450258,7264.05071,15474.416013,821378.652921,3722445.123411,4568137.693313,229290.938806,7248847.780219999,525.4305086671011,82.17117644010042
2017-07-01,134627.229684,333717.590408,38058.339634,20007.113267,472929.032471,450465.027873,665369.723371,290566.734878,120788.456797,1660.066364,7008.814903,15957.100398,839259.773954,3753912.947067,4617798.702686,220936.385727,7365264.336796,530.1186786971538,81.56872488256222
2017-08-01,140141.522,336644.071984,31407.440549,21681.735514,461818.488458,482879.696022,677621.246863,284497.896467,120686.034167,1717.006149,6212.907482,16115.854479,841833.225211,3795321.081353,4661200.074674,217072.244297,7435650.450995,563.9710989749808,81.55264851559359
2017-09-01,140201.964807,338616.855179,48241.091654,20867.566097,467022.277202,483744.074856,707604.662814,285065.161715,120224.219966,1859.524041,7065.54667,17901.021874,839316.17266,3839307.32989,4705449.595135001,242137.061767,7559174.531192,577.6496599066908,81.24049961909402
2017-10-01,151377.852325,344008.779628,53271.496071,20637.383692,468732.86828,467173.000629,707017.302739,285781.016976,124678.764628,1508.667293,6525.302676,18800.272936,865787.460866,3859693.424562,4752315.1283330005,221352.421354,7596346.014655,576.5140869818832,81.43865999687013
2017-11-01,145486.048342,335284.917067,55792.713485,21939.280558,486509.499919,457554.171365,702990.865903,286263.854945,123193.289259,1459.626371,7456.916552,17825.626136,872102.263549,3907583.472328,4806427.904936,243740.464183,7665183.009962001,564.2006200992931,81.91540749550616
2017-12-01,158657.765916,341827.829733,78804.374457,24047.604056,525900.863217,428452.268246,736649.655376,285811.04208,116741.007917,1711.650523,6281.83434,16717.04841,864011.417865,4002055.530469,4890777.481606999,237169.321862,7824839.214466999,521.0368438398162,81.6188646287949
2018-01-01,156948.611649,355528.359806,54489.414754,22862.458979,528217.008644,481031.917153,742823.473491,299493.905451,130885.486734,1650.222729,7411.779605,15277.783657,832840.22964,4019509.956249,4876689.97188,260297.196254,7909267.804795,560.0537779069182,80.50074895127068
2018-02-01,153617.81454,351828.164654,65275.763799,22760.171111,527665.271461,493019.407854,735588.285561,305323.925496,130512.071092,1748.216953,9638.564389,15234.170424,858104.655964,4064654.43258,4949380.04031,271309.682683,8006280.598561,582.6861428520027,80.856681431211
2018-03-01,175587.28735,361350.863753,79495.297686,23291.767472,549990.232441,470393.979757,748232.749723,315630.934009,114617.921738,1775.324361,8583.63075,14725.097353,870284.546164,4187238.571968,5082607.170596,273130.02542,8194328.229945,527.5618598100683,81.01315910334765
2018-04-01,173622.760883,360085.162593,61592.989916,24125.400017,585892.698912,504546.364544,750944.410988,307995.06591,115155.814627,2374.965005,9702.958602,13533.904637,851008.215572,4208458.79367338,5085078.8374893805,281786.048633,8250825.55451238,578.2032806847142,80.26682534573028
2018-05-01,162933.090382,356613.134833,69647.706734,23915.057536,585176.684719,498750.65808,741615.768345,311837.220286,114827.344291,2062.12339,7798.640784,14006.784275,867751.89034952,4259293.67323,5150913.11202852,286180.781715,8302410.55894952,583.3278453033462,81.1113928140678
2018-06-01,167545.081174,383818.94397,56390.343358,24521.779446,573844.451657,487482.429669,713306.271497,318275.402852,109465.873083,2761.635937,9592.695546,17202.2365897053,891701.341853,4338164.126132,5259422.036057705,292920.983843,8386993.596606705,572.0548027575074,81.6322487033539
2018-07-01,166496.14596,410530.344521,39275.244865,25527.797325,656248.156518,472273.88536431,736898.5242473399,307625.708988,113017.968365,2915.855508,9802.426196,17520.91767,903180.95989,4382201.058405,5315621.217669,276686.010609,8520201.00443165,582.6379077603275,81.3279948943668
2018-08-01,157799.234525,403372.676542,50627.953423,24983.789281,645484.982559,493342.456479,740206.411273,316429.340381,120834.351933,2144.164196,8650.317491,18202.13955,920297.236455,4420553.972036189,5369847.82972819,271881.661294,8594810.687418189,593.318688402159,81.27284496272651
2018-09-01,162518.224232,388625.554206,75971.152999,26423.563891,656457.11894513,458182.73277308,745716.1344033399,337510.761016,119450.450382,2383.558134,9329.252163,18852.171285,958408.55128665,4500802.701433,5489776.23430165,289634.825978,8750266.753127199,564.272941249924,82.20677743921517
2018-10-01,166270.002539,396537.743584,85306.21247026035,25585.705296,676641.930386,439313.771372,688261.874095,353511.165547,113934.08289,2126.00383,11724.150256,19298.514915,971931.729723,4555824.793604,5560905.1923279995,323325.02742761484,8829592.707934877,564.728893301001,82.35949827874583
2018-11-01,169056.23832,334390.14094,70715.040482,26601.216402,750481.401755,448703.571613,668705.32181965,366677.394228,112109.852,3008.015367,15244.711895,17810.90106,995843.092617,4619682.779323,5651589.500262001,316040.633584,8915070.311405651,563.7317981544163,82.91606646108939
2018-12-01,167876.38204,336266.618202,78638.268465,28255.198307,772110.413641,447299.17802027,632669.5514255,375838.951713,110740.201431,2699.91223,12642.485807,18242.567668,1037776.248904,4684392.572072,5755753.786681,340215.835289,9045664.38521477,518.4956333149383,83.49444003425725
2019-01-01,167870.662919,330445.760449,81849.882055,27434.522976,760315.457797,489585.105287,698309.025301,370638.488957,113472.494598,2219.840262,10059.154169,17705.297414,1004260.8320552099,4663443.647577031,5697688.77147724,317443.27016,9055053.441976242,608.904153455872,82.78197145886449
2019-02-01,170131.791452,329859.967938,84052.754095,27529.08885,757383.336098,493419.384987,735703.0425595,373152.487345,113233.559104,2182.856421,7864.731217,17542.099068,984388.945979,4690734.977847,5702713.610532,343940.857973,9131119.880933499,618.8568667708186,82.24810420583034
2019-03-01,191580.399342,277124.912748,79537.176101,27407.623891,787317.88792678,503866.814811,753525.299415,351806.517312,105942.529155,2376.525197,8436.786947,18074.59134,992694.297251,4720267.55269451,5741849.75342951,367311.760465,9187270.67459629,614.4939971590238,82.54028438626855
2019-04-01,213573.43693,297223.508892,91090.43058,28211.418976,768917.173221,542375.963855,817360.263363,361799.329386,108566.183359,2037.158211,8473.962112,17578.780341,901080.020229,4705268.693932,5634438.614824999,369513.664985,9233069.988372,624.5138595544295,80.15024251469869
2019-05-01,170375.503115,238290.336923,106028.641996,26889.892642,774087.38217,564484.923863,874673.753811,393949.911773,108714.95933,2114.907545,9623.495321,16314.012636,898017.60016,4709395.965943,5635465.981605001,360464.496449,9253425.783676999,642.3042417324388,79.98142599926953
2019-06-01,166880.636826,278994.624095,88868.493369,27616.948825,748306.705212,592577.311687,878487.830752,399957.575275,105429.661807,2410.124866,8138.622079673045,16607.9622480248,907310.390271,4761565.042595,5696032.142059698,373430.761045,9356582.690952698,654.7018466413665,80.37553059455912
2019-07-01,173035.893944,295697.455387,86446.861392,28019.539698,799518.406257,609383.164177,811620.097831,407367.517898,110157.193336,2281.505381,9328.655239,16500.201914,957742.779031,4777160.114351,5763013.255915999,355582.395625,9439841.781461,679.4054597291318,81.18483044988619
2019-08-01,175997.72812,265617.539575,80674.097052,28286.421752,802824.755021,586241.577038,813018.4717806,425232.050614,109248.156221,2528.62111,9006.047694,17270.173264,985461.713713,4800626.958239,5814893.514020001,359090.67331,9461124.9845036,656.2947594917633,81.59053020394971
2019-09-01,183170.584424,294331.463783,85589.359883,29873.127505,796394.768977,589206.087406,784598.570474,434059.227445,106519.220417,2053.240939,9957.501977,17608.679728,950081.544473,4836919.413238,5816620.3803550005,395528.080938,9515890.871607,615.4201374422901,81.12917392849597
2019-10-01,182718.483515,277398.063258,83070.342959,28227.310383,784963.139617,613173.699485,793395.715277,429577.382604,107861.77387,1915.874795,8372.780687,18334.317719,948148.359639,4877014.905733,5853786.238573,372636.796744,9526808.946285,659.6839436453313,81.47335594193666
2019-11-01,181945.14027,274350.594931,104159.645784,28975.657715,772154.715513,607798.845781,791347.530895,427828.057111,104088.154824,1764.668833,9356.842516,18598.558455,972899.21797546,4921964.310699,5924583.59847846,407634.23813,9624866.17943246,657.8373902955638,81.87604226561379
2019-12-01,183759.292482,280548.715812,87748.161441,31687.413283,497961.221335,621407.290422,755024.679442,447131.928288,98214.396767,2022.470726,8152.156764,16709.9642,996307.095221,4991760.20167,6014951.888581,722663.958356,9741098.946209002,535.3078732879106,81.90362032240866
2020-01-01,176330.443505,282930.849199,109647.855519,30237.75607,500148.624353,593139.910444,795176.6600580796,453527.1953119204,98935.156582,2086.487262,8337.998573,16049.342503,1060309.218701,4992761.383654,6079544.430693001,725798.453206,9845417.334941002,550.509245062521,81.92145238444442
2020-02-01,178978.241311,303144.299747,109127.672106,31128.489225,522126.0032,619365.668945,851040.6909671376,459587.50624286244,97505.883102,2227.220013,5764.595588,16703.919651,1026482.085105,5019981.643219,6071159.463576,764405.789491,10007569.707912998,594.0155475891457,81.03196277591294
2020-03-01,237220.37693,264812.906531,102143.37183,31530.741095,603219.657302,630332.068083,851619.5068173199,485845.61813367996,95710.86806,2004.472661,9390.269716,16446.454933,1092721.125695,5083351.182643,6203913.505648,748561.410074,10254910.030504,570.8105805589698,80.4068157415462
2020-04-01,223201.485078,298105.007354,121213.480127,28995.424681,630543.948334,656889.296263,846327.8746582951,469343.539202705,93436.374163,1874.482204,8198.110127,14953.91609,1095604.300654,5122097.275043,6242728.084117999,792540.241301,10403324.75528,588.8896067389246,79.80594473866324
2020-05-01,202825.002909,249624.482079,101845.401759,28733.190966,593735.444787,660538.812149,954276.0623529584,456461.2172900416,97008.05349,1924.412857,6997.624185,13396.407329,1105952.881767,5109675.709056,6237947.035194,811256.499088,10394251.202064,593.4023679135478,79.45773064841167
2020-06-01,189450.885025,236312.283337,89324.66463,29763.00077,605431.8055883367,707753.679428,1006526.2554940999,451212.48286690004,91647.14152,1950.4072,6215.346186,13215.897478,1173060.513844,5106832.512447,6301274.677154999,807060.2003996633,10515757.076213999,576.8251803021944,79.18131575268873
2020-07-01,176000.0974,232591.915471,78537.603114,29699.607927,588965.929523,732621.522112,1066689.0241990068,481935.738393993,97410.218437,1978.881252,5128.097402,15505.065403,1229317.079221,5149094.43051,6401023.553788001,807256.723976,10692731.934341,574.0303361724417,79.13894172379516
2020-08-01,171997.301782,247437.760499,108030.663253,30223.400387,605702.911972,763816.004943,1070265.4973511668,509126.1342678332,102629.240864,2317.975518,6876.795162,17197.403577,1212777.621977,5260871.537918,6500041.334152,815708.590154,10924978.839625,541.6423758019823,78.43856743261449
2020-09-01,177382.819735,253539.598862,80292.309759,29363.442276,624005.144907,778605.045362,1158410.6298327663,524285.6872102336,96279.762539,2673.071418,7454.043459,17405.238603,1119104.703077,5437120.430131,6583757.486687999,811414.250779,11117336.177949999,577.7712610503904,77.8585840802327
2020-10-01,195914.791038,230410.737386,78237.345374,29549.290459,641068.05059,783303.0747624299,1186898.8967913084,531499.2583010017,104892.968929,2738.45652,6343.77636,17120.537137,1203818.868746,5494948.569314,6724970.208077,797230.313142,11303974.934849741,572.2143533054395,78.27793818292096
2020-11-01,196860.147219,259533.758201,100002.306656,29077.024275,643458.024107,748116.444035,1179228.0649511807,568027.1684058192,95803.014213,2685.835228,5544.101932,17042.534208,1242746.17228,5565747.78158,6833766.425228,824766.542033,11478638.919324001,564.5097155348865,78.437251879511
2020-12-01,193797.822601,290368.591626,83792.227159,30662.869741,702852.343743,777239.171992,1429346.449671,581087.682091,91247.455777,4103.262313,4533.401486,18781.639394,1077665.837847,5660471.89249,6765556.033530001,779487.380981,11725438.028912,550.0136754435879,75.41369563726758
2021-01-01,198821.657783,224699.523715,97200.625974,29657.87838,702113.137392,782703.635107,1477929.03597804,586655.2582,98572.188067,5175.899023,4997.437773,17986.185707,1229361.727052,5659608.20058,6917129.450135,801834.308615,11917316.69934604,573.7825606515186,76.04407136141506
2021-02-01,193725.492478,277145.464634,98493.68010307351,31887.267236,725318.07198721,704001.300736,1503492.0993695802,598539.746923,104665.425148,5103.849089,5427.18699,19208.111691,1249363.448875,5719281.03371,6998383.6303550005,831162.378116,12066814.557085864,571.292473613459,75.82589507616369
2021-03-01,227776.931751,244861.117982,110135.344172,29928.117852,729816.045408,687137.26222854,1468300.899633,617321.190797,99506.847252,4756.817521,5236.86924,17121.56523,1346682.715318,5826396.98058988,7200194.94789888,826242.85372396,12241221.55869838,545.1751326750409,76.68664482556086
2021-04-01,226903.51186,249188.170004,73559.239515,29823.5258,734710.155674,706119.466765,1554767.5465413202,609676.132427,119984.437074,4531.121539,6111.382276,14932.047076588051,1294711.6233578299,5873370.390476,7193656.564725418,837432.7809131215,12335821.53129886,564.7985143956851,75.69640818349173
2021-05-01,228303.678347,203601.546102,96586.767055,29736.957879,747470.42391166,727736.270474,1520031.699337,613944.0998411999,116014.873451,4606.477689,5826.539344,15033.195514,1375938.34152,5914522.251873209,7315926.805940209,848409.479426,12447762.601764068,565.4694665535274,76.46985584535312
2021-06-01,238213.55255,239904.420824,122510.372929,29917.809366,794484.433802,688257.543448,1516692.933086,585271.262456,110247.460907,4086.741476,6043.462486,14214.503704,1435680.656318,6003969.880533,7463995.244517,862409.237166,12651904.271051,544.851647462561,76.81493245866777
2021-07-01,219878.88066,216088.484412,112891.076438,30846.386635,866918.11001451,663444.015436,1573438.149577,533366.567631,110203.75596930001,3409.790909,7843.45781,14586.725484,1539347.256465,6043460.138863,7608647.369531,885281.284698,12821004.081001809,537.4006620209883,77.1763918784056
2021-08-01,216955.67501,217727.741197,110603.318487,30917.241526,980365.00865071,640092.104646,1513731.32035331,578459.217512,114583.37348295999,3959.634079,9479.240055,17675.531865,1618549.221225,6121469.868926,7771133.49615,881431.355855,13055999.85286998,533.2502552247064,77.39318110642738
2021-09-01,234368.569958,399493.022552,105109.138082,30884.320628,898419.411589,530477.135398,1497350.546603,534094.148026,121868.852299,3535.566229,8393.912032,18416.11814,1587820.509799,6174255.13364,7792421.23984,878429.214986,13022915.599960998,564.9029752670654,77.79540659158937
2021-10-01,233340.004148,375675.159252,167643.752955,31613.980138,743704.897615,539703.898732,1550459.48844,535983.337075,122313.40541765305,3242.530595,9012.646049,17605.255943,1586414.1048615,6369955.718828,7986230.2562765,887322.1512185,13173990.331267655,497.9329623625417,78.83354708311383
2021-11-01,234387.810834,433160.596924,123922.37279406,33680.376792,710962.134223,543071.944321,1593587.85267153,511268.898238,120174.962571,3670.470682,8254.837642,18543.389882,1503235.698197,6474798.35281,8008502.749213,907368.501615,13220088.20019659,507.2109339077056,79.13820915190645
2021-12-01,220649.415819,398542.800428,123413.651786,35537.868907,663891.475827,577515.864508,1584961.573978,499579.550587,117093.59708,4377.861366,5749.777922,19572.888314,1543965.427238,6634344.837776,8208010.7926159995,898233.103688,13327429.695224,451.5346584709609,80.19692856689109
2022-01-01,254671.914695,385336.426212,120494.858546,34682.372971,684232.988422,597852.4649518301,1734345.6842340801,478226.161387,124534.487132,5356.094675,7272.838643,19587.270816,1361603.552297,6705152.929365,8098972.685796,988623.55809501,13501973.60244192,446.94210315112804,78.81027372468668
2022-02-01,247236.775354,344317.531178,121853.205837,35795.974581,631020.976458,621841.562938,1829404.24247,478110.503861,122245.228889,5525.632931,7670.343202,21738.995531,1326935.621065,6736120.800476,8097991.393205,1044710.329858,13574527.724628998,461.66734187963846,78.30330179867359
2022-03-01,281791.40047746996,379996.64559,116064.257295,35666.205849,1015411.436072,657732.223764,1885658.684563,619813.998034,116158.824748,7728.207766,11241.557693,29868.845462,1196860.090978,7206698.821521,8452397.52342,1187866.757206,14748557.957018472,494.56815744657615,75.44147206980807
2022-04-01,295938.085683,468826.930834,81843.713705,35825.505794,1267848.1898,514709.145539,1829102.46413261,723171.477354,113308.65661,7474.639107,15479.274789,33116.10956,1053060.647496,7454902.688583535,8564033.359535536,1308654.486498,15203262.015485145,518.750453647842,74.10564159294604
2022-05-01,337012.319974,429102.984624,62254.184862,35721.552667,1333243.0480598998,402990.2928115131,1897897.974757,731714.434464,116617.917595,7101.923361,16237.071005,34208.333398,1047002.223259,7503535.066498,8608084.617521,1272842.274469,15227481.601804413,511.5185481585597,74.48781411207344
2022-06-01,317305.380729,535679.602676,67810.215072,33944.135338,1316205.465209,373430.1117,1933403.675935,738345.649796,115567.89012615097,5845.17888,18230.724123,35917.162909,1052805.225365,7506655.137684,8619453.428961,1243416.851764,15294562.40730615,542.3618468679472,74.27307220233618
2022-07-22,302657.874261,583751.509675,64631.114658,32858.384125,1264691.909572,389274.843278,2011041.3830953601,689735.5427990601,116602.136498,5258.43799,19881.621037,31626.778234,954041.719712,7566819.386854,8577627.943827,1312220.312639,15345092.95442742,555.6012037416159,73.66148125395402
2022-08-22,318755.749303,613348.753885,60447.583353,32584.916268,1194627.001309,469669.231144228,2067822.0602392699,721814.960225,119786.083296,4050.712393,11024.173317,30815.896586,917125.5149177384,7488824.016784825,8451840.313998563,1285518.056671,15336214.709692065,548.1446866208533,72.03190973247196
2022-09-22,301794.562747,635753.363713,78420.381261,32049.107222,1309285.132811,498188.262331,2219910.324808,645311.42858,120651.12156022999,1940.916634,8433.206782,32312.058871,918941.92195,7452914.219096,8414542.323333,1342387.474777,15598293.48314323,557.7008742677107,71.05720655906697
2022-10-22,335211.21150371,625382.24573,71708.062251,32545.417804,1228167.7986224198,493701.042827035,2296150.465284781,638625.949225,119291.886974,2098.131609,7420.0139,28880.213038,928562.515553,7554601.463536,8521562.337636,1373774.263093,15736120.680950947,590.4549024998594,71.79302577480686
2022-11-22,292024.70577,618449.152364,122758.49105,30670.302207,1169463.2097138,575608.2617522603,2374784.933644,665092.885472,119918.759486,2213.34192496,7012.614276,29416.515263,917188.291774,7514425.372691,8470256.13592896,1401856.8085086364,15840883.645896656,584.3643232936746,70.54505230249946
2022-12-22,284525.464932,630940.74424,139329.842467,32727.732369,1131212.522712,624935.02746,2461325.166215,639320.762591,119805.333646,2002.606325,6733.926242,25515.514452,921836.56958,7441119.14658,8397207.763179,1423014.636657,15884344.996468,610.2135667538929,69.64787762796323
2023-01-22,299567.457497,615083.44636,116886.13663,31398.79354,1152261.01865,760129.717286,2522640.275758,634964.101223,120112.07921,2016.684152,6458.360059,22688.514672,885937.890739,7390356.854127,8307458.303749001,1442594.799791,16003096.129694,668.9388977206343,68.70587848783909
2023-02-22,246961.100505,543255.156702,92700.334219,31315.66972,1092504.9849058401,790969.693894,2760431.97114,595262.055514,121525.999353,1966.357257,6105.243951,23317.24744,905157.953631,7305626.091022,8242172.893301,1468263.365754,15985363.22500784,715.0880762235065,68.27269660522035
2023-03-22,281366.972392,518988.367598,76901.913334,28813.868768,997928.241139,908510.560531,2750232.543134,543538.37961,122565.819799,1413.315817,5660.073978,20620.262607,889415.394948,7163080.142646,8080189.189995999,1419806.764695,15728842.620996002,720.1413717977687,67.7285609610223
2023-04-22,289523.576532,495336.099285,112497.152164,29260.203697,1094509.296275,949604.837514,2804751.304112,536539.222295,119600.612384,1578.030733,5750.343144,21343.306306,885606.207975,7094599.852186,8008877.740344,1531255.51677,15971755.561371999,719.824142405615,66.52091616372302
2023-05-22,275896.939586,503454.818054,80952.620538,30047.754274,881885.362525,1141373.493988,2861937.46908422,526663.084554,118471.083633,1679.588699,5450.608116,19043.860792,869954.6493,6983063.853138,7879192.560045,1496483.902506,15796359.088787219,701.7866038162812,65.58029816075268
