End of Period,Paid-up Capital,Demand Deposits_Inter-Bank_Domestic,Demand Deposits_Inter-Bank_Foreign,Demand Deposits_Govt. of Sri Lanka,Demand Deposits_Resident Constituents,Demand Deposits_Non Resident Constituents,Time and Savings Deposits_Govt. of Sri Lanka,Time and Savings Deposits_Resident Constituents,Time and Savings Deposits_Non Resident Constituents,Total All Deposits_Demand,Total All Deposits_Time and Savings,Borrowings_Domestic InterBank (h),Borrowings_Foreign,Other Liabilities
2009-08-01,181308.11125068,6252.618301,2464.88632,19605.023215,127288.94524453,3134.35146355,8837.833371,1150044.76994903,276478.42846955,158745.82454408,1435361.03178958,87410.22869544,20759.9355436,257042.86181674
2009-09-01,183346.65826192,7710.866658,2507.024842,14368.66518,133022.93382177,3215.50103787,8716.42702,1168064.65782755,288198.39977613,160824.99153964003,1464979.4846236801,93276.453928,16389.9765286,259040.68741433
2009-10-01,186503.9,576.6,2745.4,20989.8,129718.6,4733.7,7490.9,1166803.3,307687.5,158764.1,1481981.7,89444.2,16057.3,265506.8
2009-11-01,186852.10774984,630.52422,2679.42679,19358.161486,144409.26593577,4000.01414561,6941.19899,1183472.7265858802,285361.40513302,171077.39257738003,1475775.3307089,87838.0978606,15923.2816026,267584.81434151
2009-12-01,191016.56588506,902.011247,4221.849538,20396.101354,154848.67629953998,3914.48667468,7062.669431,1200044.9814422198,281495.06567857,184283.12511321998,1488602.7165517898,88998.142046,14331.30792605,263124.03901312
2010-01-01,192885.68786593,3581.854642,4237.929101,17890.17272,155062.56844049,3902.6344019099997,7240.209327,1211988.66091805,266455.6908561,184675.1593054,1485684.56110115,85249.506609,18069.93116291,264659.50472860003
2010-02-01,194784.32384664,678.444418,3807.93456,16450.97947,149296.64255346,3927.76026665,6981.8833030000005,1224490.9554961799,267774.68468896,174161.76126811,1499247.5234881397,89132.956977,14887.34743891,260354.60191163
2010-03-01,200133.80968513,464.482151,5294.541299,16133.094341,161497.99732770002,4274.02309335,6549.9437769999995,1238212.2791995702,266451.20686255,187664.13821205002,1511213.4298391202,91295.017197,23293.96081891,266623.54588414996
2010-04-01,198830.72355508,665.15171,4848.809972,16869.700623,156046.45215234,4947.5566696900005,6516.436841,1251389.9090875897,279945.87051781,183377.67112703001,1537852.2164463997,89576.37412,21491.260893,259662.08152637
2010-05-01,201728.9592087,648.122096,6768.54311,17297.809423,159437.16317852002,4691.8261102199995,6581.824522,1267713.09330586,276344.41068564,188843.46391774,1550639.3285135,88036.788985,23597.895272,267131.93310755
2010-06-01,223709.22250317,1217.305154,3198.081553,16983.73058,157174.5618439,4466.69486948,6571.512247,1289492.5904084498,278773.41906169,183040.37400038002,1574837.5217171395,96654.39050395999,12014.720344,257794.04390715
2010-07-01,226353.52013139,180.735207,4481.951119,20029.236185,154976.50692274,4678.69247799,6775.814579,1299790.9530467798,296186.65716316,184347.12191173,1602753.4247889398,96899.60584496001,10898.60121306,261467.99170777
2010-08-01,228024.50042396,581.186495,7182.941067,18737.711755,161247.86805034,3276.37969617,6991.936532,1317941.12814779,287210.27096319996,191026.08706351003,1612143.33564299,108259.01817796,12035.577796,260500.54736030998
2010-09-01,229434.22460718,68.006676,6912.115456,19581.247686,172046.24606272,3813.72218906,8286.012676,1345154.84450304,288959.07494416,202421.33806978,1642399.9321231998,109229.87571596,12239.372547,272701.3143671
2010-10-01,230207.661671,153.651599,7195.648584,26536.04636,173409.89796811,3486.9580205700004,10380.502044,1362198.0914439799,293929.28194503,210782.20253167997,1666507.8754330098,105513.60184196,12208.52368121,269228.84169756004
2010-11-01,232291.09255929003,157.294611,7280.150587,25147.621259,177243.93749707998,3881.42181273,11980.680905,1382913.5566361002,290825.63686595,213710.42576681,1685719.8744070502,99324.73153596,12380.89737,270054.28096109
2010-12-01,237814.23119133,45.739044,6874.371868,34606.59885,190637.45708431,3816.69782345,14851.427102000001,1405808.1163388798,298336.61211756995,235980.86466976002,1718996.1555584497,99473.40473496,13351.333157,261120.73504976003
2011-01-01,245173.50629876,37.947368,7110.559663,25357.736777,195764.80366677,3882.8191062899996,14962.810656,1424235.66764643,291167.21095681,232153.86658106,1730365.68925924,99521.29784695999,19279.76800713,274219.14399710996
2011-02-01,248459.21256513003,63.03769,8355.167416,24910.481073,195777.22266523,4580.269515,15601.292585,1447979.81452071,296279.90252328996,233686.17835923,1759861.0096289997,99986.14603496,15750.054064,284708.65261825
2011-03-01,248060.92682939,86.204744,5570.361192,23407.832498,190967.07068627,5745.51879784,15698.134379,1480661.23961112,298216.73795155,225776.98791810998,1794576.1119416698,106190.32438496001,21492.52194,282870.21862907
2011-04-01,250786.76648054,42.669944,4460.392941,25068.731904,197852.90369996,5920.23437907,15934.423951,1512223.7436796702,299435.64999646996,233344.93286803,1827593.81762714,105095.03686195999,18206.952479,277657.68735541
2011-05-01,254520.42559139,101.569195,8039.377822,25917.942853,203116.9273743,4863.52064432,16974.181365,1533838.36858723,300289.44704026,242039.33788861998,1851101.9969924903,106550.75423096001,20337.282736,280566.54548429
2011-06-01,262761.84390105,561.585771,9746.425157,23288.305879,199795.1005793,4755.88013603,18745.129499000002,1571500.9314014702,300430.56123534,238147.29752233,1890676.6221358103,111418.95165796,19883.94154114,283272.7915865
2011-07-01,266093.08666862,286.452194,7594.468017,28671.19091,203995.95925739,4448.72077091,18816.570427,1592979.6856893497,308365.27524883003,244996.7911493,1920161.5313651797,120171.06516796,20535.76303152,285940.47664303996
2011-08-01,285017.92616675,81.512198,6749.640373,29276.139239,202422.60342799,4663.6398733099995,18873.710775,1622942.70120477,305184.75061615004,243193.53511129998,1947001.16259592,121188.84520694001,20814.006493,292021.06159431
2011-09-01,290404.11606782,132.154074,6170.064526,29562.168671,202419.44092440003,4379.31189934,20584.058482,1655761.5341746302,310482.01885275997,242663.14009474003,1986827.6115093902,126303.55852448,21830.832655,317455.7116154
2011-10-01,293116.21529602,46.444105,6018.389885,29852.015006,202785.95432461,4461.43614056,21285.572056,1682546.7329179898,315244.25834689994,243164.23946117001,2019076.5633208896,129496.42565449,23910.771773,313519.67994229
2011-11-01,296553.65453627,50.412459,5664.137388,30012.676973,194869.43359372,4675.402125590001,20363.204340999997,1715040.82142517,322747.9186315,235272.06253931002,2058151.9443976698,133723.45502042,25826.67721,323200.72997213
2011-12-01,313333.94735729,3488.9435,6367.22158412,33690.905612,195834.54940591,4069.0016652100003,30839.874041,1753895.6395587302,332998.29225832,243450.62176724,2117733.80585805,147274.85873742,19742.455763,316141.20617409
2012-01-01,315213.04012427,46.403233,9301.08157,28710.553714,198254.32704355,4521.96689321,24707.230912,1785305.83329346,336786.11238205,240834.33245376,2146799.17658751,137951.23851296,35290.594346,333072.43601148
2012-02-01,322063.70497399004,81.253808,4175.370623,26700.021533,199109.26804829002,4581.19251321,39103.807091999995,1833881.76781007,360955.842447,234647.1065255,2233941.41734907,142456.76085696,35410.284671,340771.90807686
2012-03-01,327281.16870128,66.974433,6696.617319,23099.189098,195670.80824785001,4780.64337497,24463.062786000002,1872550.1188105096,368717.66183565,230314.23247282003,2265730.8434321596,149269.36900096,69778.97926,359759.41076794
2012-04-01,330739.77932905,44.220532,10134.840689,23756.552691,199263.04181667,5144.60148428,40381.065159,1909286.9461206899,377969.5338999,238343.25721295,2327637.5451795897,144941.14129996,64269.846564,371826.80672742
2012-05-01,335718.01507395,67.159513,8656.376951,24562.887089,195636.79873452,4688.7186783199995,26076.062823,1916496.8698591401,378775.37869518006,233611.94096584,2321348.31137732,141336.40116296,67917.755847,369178.316462
2012-06-01,341208.63211738,52.425449,7101.765818,24700.866789,190459.64381528998,4684.12854512,28907.425935,1948563.0018642598,386225.62229354,226998.83041641,2363696.0500927996,150475.207294,78266.254494,361407.06842587003
2012-07-01,347390.83485268,56.125408,5246.277524,25590.836552,194728.60705561,5199.09360485,27141.927493,1972369.2456286896,382875.01854934,230820.94014445998,2382386.1916710297,131576.146305,74648.564983,368711.48002656
2012-08-01,352614.17005992,78.955586,11499.982588,24181.581744,191125.44870262998,5249.517385409999,26174.836155,2000412.2146570098,389148.1449179,232135.48600603998,2415735.1957299095,132759.866816,72188.979976,358948.89431239
2012-09-01,358445.39423196,68.505044,15215.407256,23746.735226,193062.83072609,5825.19841129,27952.637325,2015256.2614120897,390039.66862966,237918.67666338,2433248.5673667495,136836.7554939999,74088.660675,360670.92661863996
2012-10-01,364354.13000452,81.747717,15503.875644,25890.024452,186453.90940656,5171.07890473,33712.11669,2037877.76768373,396466.22551497,233100.63612429003,2468056.1098887,132859.511646,81617.858848,360426.44944644
2012-11-01,368049.99637656,58.219875,12779.961283,27651.116357,188626.97080635,5923.11877465,28086.17877,2099824.9702351103,363448.57717959,235039.387096,2491359.7261847006,153947.951142,79502.146249,365847.22086464
2012-12-01,375919.96378296,76.217861,14788.530949,25398.269741,198496.37636562,4975.78864083,54400.880961999996,2143136.0478909397,356947.86398654,243735.18355745,2554484.79283948,142491.589054,75460.24306,365278.15825704
2013-01-01,374516.274077,36.565318,31968.217446,24244.719862,198762.44301500003,5887.4979029999995,27312.868784000002,2186793.8803230003,357752.42389,260899.44354400004,2571859.1729970006,144728.933982,74357.307064,444594.04692138
2013-02-01,379360.401629,48.240104,10813.1342279,25259.579227,202107.7481534,5425.8372227,27892.988987,2240827.4473876003,357662.5511224,243654.53893500002,2626382.9874970005,139394.786896,74703.0286715,390570.5099835
2013-03-01,384459.030622,51.161058,11345.3593984,24542.903927,202854.6456396,5548.453006,28701.044047,2284029.4663513997,356934.1793571,244342.523029,2669664.6897554994,138375.7603289999,98053.05017,400367.5033815
2013-04-01,397738.706371,78.904532,8781.33577,24697.729368,205271.10647600002,5871.498806,29609.366581000002,2335252.810801,368116.652203,244700.574952,2732978.829585,129460.1772,77665.447975,409755.66069399996
2013-05-01,400472.500482,48.172216,6920.694571,24280.833849,198022.77382700003,5354.494879,29486.467121,2356809.0481040003,366477.10452299996,234626.96934200003,2752772.619748,131788.49427700002,88179.562449,379458.485378
2013-06-01,407008.206568,49.083751,7864.014339,23800.083552,197953.590434,5711.909353,27395.392605,2399792.435141,362723.93467499997,235378.68142900002,2789911.7624210003,130300.024091,93525.878796,380617.749769
2013-07-01,418067.424412,106.737431,9745.638103,21661.037061,199649.63438,5463.165688,26744.330800999996,2430856.8475120002,367096.706976,236626.212663,2824697.8852890003,113181.497057,100617.640794,375616.19273400004
2013-08-01,423326.883928,147.340129,11983.26997,22220.147292,200009.748743,7118.6108509999995,26664.587923,2430397.3829870005,375993.695765,241479.116985,2833055.6666750005,115960.960668,99131.45464,379071.639363
2013-09-01,427719.726659,73.010037,12587.822329,22661.134835,210512.850334,8960.080861,26111.557727,2477369.571379,373470.339638,254794.89839599998,2876951.468744,106659.94113300001,105020.052341,392287.69383799995
2013-10-01,430762.657682,123.821284,15679.663092,23402.705425,230809.474029,5752.389467,23831.038876,2521113.636355,371035.716876,275768.05329699995,2915980.392107,110255.455175,108402.432142,379490.499271
2013-11-01,435825.524851,114.036879,19398.421952,23142.936668,202041.44715,6752.676594,26621.430303,2543369.3688379996,373083.852354,251449.519243,2943074.6514949994,119895.41755499999,97935.53599,384897.493968
2013-12-01,444945.343588,540.365555,21780.427785,24753.805259,219966.114636,5712.749784,26421.690363,2574214.821804,379757.426643,272753.463019,2980393.93881,127460.457776,111980.776028,390732.42699
2014-01-01,443626.900591,126.370019,7603.323375,23852.43028,221511.17748,5544.81475,35272.775702,2613686.763875,380501.186544,258638.115904,3029460.7261210005,117770.705935,100364.269278,398840.771601
2014-02-01,444730.792134,58.691952,10746.005602,24327.774777,222270.667945,5827.735865,37175.612973,2628601.754018,386257.343039,263230.876141,3052034.7100299997,117043.418962,102453.745174,414428.508111
2014-03-01,447291.261154,110.07252,16041.511501,23804.542328,229720.831821,5525.919038,34206.476313,2654400.196562,387353.017916,275202.877208,3075959.690791,121005.27013,84752.721075,414265.088649
2014-04-01,457829.863843,90.405491,8149.635381,24388.143276,233504.195066,13127.901624,33268.70578,2667722.888126,391128.573603,279260.28083799995,3092120.167509,114174.651939,100165.073553,405292.291986
2014-05-01,462238.269089,130.898971,11523.669617,24244.708366,227501.939763,11964.599229,27948.684014,2674841.744024,391981.624671,275365.815946,3094772.052709,120242.553945,114026.024094,400316.069805
2014-06-01,468807.054143,60.024715,12919.139028,24547.490821,244116.01789,7872.241163,29371.343665,2695094.01706,391798.063889,289514.913617,3116263.424614,120305.818775,118319.293784,402276.28194
2014-07-01,476038.335891,172.969945,12790.174592,26496.675841,236049.915049,6342.727539,29324.346506,2708381.339847,389124.882639,281852.46296599996,3126830.568992,114853.550585,120128.701962,418925.706761
2014-08-01,481072.622991,112.157866,9862.260321,28006.420803,246280.4696,8599.90976,30644.80079,2719168.016726,392377.150868,292861.21835000004,3142189.9683839995,120753.859004,147279.966172,386955.304017
2014-09-01,499794.753717,110.420752,12520.560193,27918.6008,248909.296969,10036.335561,30454.894104,2776789.785063,401084.208062,299495.214275,3208328.887229,135930.929288,146387.781911,400334.491751
2014-10-01,506092.225652,209.794954,15378.162734,30358.665428,248993.382839,8716.94429,31127.620812,2804785.461615,398420.460498,303656.950245,3234333.5429249997,129186.516151,146289.892503,390939.029252
2014-11-01,508790.571647,158.908257,16525.228315,31721.340408,259525.026164,7039.778806,30876.89492,2830286.221282,407734.408868,314970.28195000003,3268897.52507,130755.396854,144090.691719,395465.975039
2014-12-01,528661.200575,112.123091,11517.006342,34440.774079,282721.579662,10666.997073,30513.405896,2848402.443106,422601.203546,339458.480247,3301517.052548,145315.092228,138442.738646,402545.44967
2015-01-01,534656.035181,98.934925,13193.537803,30240.485016,270273.375211,7051.533647,22280.072551,2870360.5608,431886.439195,320857.86660199997,3324527.072546,140550.2414,144530.524306,408739.905529
2015-02-01,537814.888251,118.937463,12327.06004,30283.518582,261623.305811,6878.355073,22567.65769,2895880.255048,441253.65368,311231.176969,3359701.5664179996,131316.56918,135167.064856,411931.895528
2015-03-01,537277.473309,171.82757,13559.136198,29065.055462,285654.526787,6535.022143,22397.49517,2920303.718061,444791.440286,334985.56815999997,3387492.6535170004,134964.907626,131182.507655,416404.37677
2015-04-01,544571.701236,142.037522,13584.8353,31906.814798,282626.620234,6927.09351,21874.041802,2963107.101767,451430.370871,335187.40136399993,3436411.5144399996,138629.858465,126540.140007,401064.951797
2015-05-01,550040.132577,237.43463,13770.145301,29950.162293,284722.18342,7340.740593,22540.009522,3010466.603968,459570.66747,336020.666237,3492577.28096,137532.2788,143896.706112,399450.855206
2015-06-01,555034.687771,132.440633,10279.154153,27997.693388,286225.712755,6842.263651,22402.143829,3048076.848641,470568.295626,331477.26457999996,3541047.2880960004,135640.668646,141778.318977,402140.986527
2015-07-01,559080.770364,149.777617,12774.430961,29461.025501,282360.714655,7063.443123,21783.100345,3090179.70241,473960.528975,331809.391857,3585923.33173,129520.619559,150541.442165,403931.368398
2015-08-01,564269.889981,119.86509,15248.523701,28359.730726,288107.668432,11259.185222,22706.125185,3133877.494735,482354.214776,343094.97317099996,3638937.834696,129637.561985,123121.853596,408882.20681
2015-09-01,574138.495579,182.329462,8050.41462,27096.03181,299597.670088,8175.075372,22275.765945,3161358.067132,502340.957196,343101.521352,3685974.790273,141248.279805,140689.904346,411413.38368
2015-11-01,601937.997812,191.732448,11954.388042,37021.16348,305326.967215,8765.764182,25385.654273,3276298.79245,519514.525525,363260.015367,3821198.972248,185789.651254,180102.772449,441931.617263
2015-12-01,608898.188804,856.705236,8682.624582,44182.403229,326926.092438,8645.193502,29149.971084,3342224.174625,529750.248105,389293.01898700005,3901124.3938140003,182212.489289,195717.287732,421276.669479
2016-01-01,613522.617372,195.004766,10238.902957,38112.82378,309761.406668,11906.084057,27555.365572,3410560.707838,554003.97171,370214.222228,3992120.04512,179474.746826,198595.150789,408108.610789
2016-02-01,614177.097495,212.663055,11342.53865,34581.756978,317795.678994,9419.960877,28099.508611,3457874.130761,563185.058352,373352.598554,4049158.697724,183066.849911,196603.068377,421365.905014
2016-03-01,632324.525305,153.546261,8688.730216,34427.002277,323929.339348,9132.824732,30067.202737,3476793.027606,576207.041711,376331.442834,4083067.272054,204758.141005,197574.409021,434776.148685
2016-04-01,634205.200811,189.365175,10094.53116,34403.68693,317112.017318,9047.867788,29436.743789,3526512.919567,577468.215709,370847.468371,4133417.879065,185629.063051,210359.754743,441865.408158
2016-05-01,638441.918695,134.635362,13705.986064,31784.476691,311402.829403,8762.711785,29591.017427,3539255.152521,585180.1656,365790.639305,4154026.335548,190458.957036,203313.068647,450129.159144
2016-06-01,649778.193178,252.035584,8212.250125,31934.082228,312835.171748,8033.236651,20147.573421,3604860.594993,571853.619311,361266.776336,4196861.787725,177712.574841,204925.689951,455196.254505
2016-07-01,662705.263129,221.497155,9908.076824,32022.04222,310344.390936,7638.763793,19624.932864,3678122.028119,576603.332597,360134.770928,4274350.29358,200310.677634,193878.756698,448114.015724
2016-08-01,668359.655344,140.05926,7139.703748,30320.205376,311575.79887,7257.647293,22342.825777,3720655.738795,578436.471176,356433.414547,4321435.035748,194377.606935,186326.337519,462437.762835
2016-09-01,672457.871991,186.438007,8590.739204,33209.968502,321628.793313,7436.985692,23715.177745,3822617.066977,576162.150237,371052.924718,4422494.394959,199569.841047,185978.812329,460368.533116
2016-10-01,685316.45110375,189.134273,11371.055829,32798.827516,320231.980385,6717.92316,21911.845956,3889138.88334,579756.765668,371308.921163,4490807.494964,179534.152633,198316.220043,470397.351304
2016-11-01,697428.103588,163.893834,11412.632432,37310.374509,315240.536182,6690.932916,21132.782836,3963031.649381,587561.301708,370818.369873,4571725.733925,192159.418551,197673.255467,463895.116785
2016-12-01,716962.863348,161.366758,8761.440718,41661.257098,347005.048028,7563.243289,16418.933059,4046934.617316,609583.674577,405152.355891,4672937.224952,206130.608938,212373.567977,469024.870114
2017-01-01,711352.468915,158.454997,8828.685289,37078.634564,334105.144374,8209.260616,30196.67926,4123159.722798,592234.195199,388380.17984,4745590.597257,200811.124885,211224.95804,497445.8192
2017-02-01,713904.792069,171.947376,9745.793792,33869.386599,329368.333354,8579.799988,28981.31864,4206718.019326,597422.818397,381735.261109,4833122.156362999,208518.978029,209910.419013,519725.017514
2017-03-01,725701.522006,108.989182,10242.352319,32356.179715,338091.893847,10575.503792,28416.401033,4314178.407827,600747.747564,391374.91885500005,4943342.556424,206070.748295,191622.049457,517962.529896
2017-04-01,736489.476263,176.177731,9741.46298,31195.863454,330710.946662,9393.96036,26295.931673,4381608.32763971,607454.26889561,381218.411187,5015358.52820832,210675.349308,192749.057016,519554.063949
2017-05-01,746145.837294,175.257358,9864.215374,34415.5119,322228.048322,11138.565086,30793.477,4472599.967869,605977.53979,377821.59804,5109370.984658999,214982.421685,185474.077457,521209.552635
2017-06-01,766006.962391,113.888781,12604.798446,33804.791447,327752.319342,8934.76681,29347.273477,4527526.600489,619323.951076,383210.564826,5176197.825042,220997.469462,173201.836331,529233.122168
2017-07-01,784653.769168,188.294192,10455.020274,35437.173455,337588.125898,9211.858394,28413.379872,4598574.974283,641556.307476,392880.472213,5268544.661631,222985.112893,153506.401962,542693.918929
2017-08-01,807674.32378785,249.859717,11854.060655,37553.291025,317571.776887,9485.338725,30368.24926,4663899.097828,644839.855598,376714.327009,5339107.202686,203657.130231,158349.227951,550148.23933
2017-09-01,812442.850825,164.20855,10841.993651,32951.94137,320447.685875,10382.66743,29805.487973,4748531.071376,639038.976547,374788.496876,5417375.5358959995,232892.973071,156594.030105,565080.644419
2017-10-01,820875.325022,267.078667,9733.377701,36015.672832,319498.957636,10309.865506,27943.061264,4789316.564742,642635.99196,375824.952342,5459895.617966,237155.803447,151081.998742,551512.317136
2017-11-01,838622.885639,199.671122,11785.240261,36644.254874,321153.087643,12297.123642,29043.655747,4798656.849201,657970.292119,382079.37754200003,5485670.7970670005,237023.466896,158295.104643,563491.378175
2017-12-01,850930.674638,477.967024,15715.128919,46842.981835,353875.854449,8910.027638,27972.985512,4872014.04146,666883.529912,425821.959865,5566870.556884,254942.472195,162385.30609,563888.244795
2018-01-01,859464.102178,376.206669,16845.276441,39407.995355,342404.070952,10033.616411,30309.51517,4965598.043118,653345.086074,409067.165828,5649252.644362,241465.491095,164156.569613,585861.831719
2018-02-01,863504.288834,315.590215,16020.686937,35561.944185,331457.355239,9682.566579,30427.54377,5055850.816881,642175.41062,393038.143155,5728453.771271001,254922.682395,158843.034894,607518.678012
2018-03-01,874834.71146,383.776142,18479.367405,35679.034673,377309.791557,10307.329396,29258.645563,5154308.729072,648461.539601,442159.29917300004,5832028.914236,252021.644741,173566.71317,619716.947165
2018-04-01,898398.221113,404.875769,17942.64934,37126.917432,350309.040254,9821.947236,34598.474343,5231163.115743,654256.441396,415605.43003099994,5920018.031482,235452.312399,166966.499952,614385.059535
2018-05-01,905111.245876,814.320457,17482.899851,37068.51023,342426.966488,9132.33868,39159.993988,5256757.992742,648390.065747,406925.035706,5944308.052477,259513.257956,164680.737083,621872.229852
2018-06-01,911660.907527,612.306366,19632.406933,34835.706493,347791.005358,9511.525337,61861.961436,5316336.625939,652854.676455,412382.95048700005,6031053.263830001,248075.021064,159916.894546,623904.559153
2018-07-01,929698.212707,664.917482,16661.15398,36276.078875,338658.430929,32799.35464,69978.37841,5368995.505306,672659.958,425059.935906,6111633.841716,252682.256368,172232.912644,628893.845091
2018-08-01,940244.15827324,405.564113,17600.585232,35365.510916,329647.560867,33554.319973,69038.456249,5452164.836272,669814.47893,416573.541101,6191017.771451,253770.661244,161778.136719,631426.41863
2018-09-01,951843.243473,1303.631416,17023.332055,33923.180929,347819.208665,34015.042343,67611.592186,5475462.84090086,702154.092801,434084.395408,6245228.52588786,278895.583725,177997.29595934,662217.708674
2018-10-01,978121.583849,609.799651,18329.396354,36129.474308,335275.914863,35278.706692,69405.450445,5543310.690176,714260.494041,425623.29186799994,6326976.634662,247340.260891,159420.608744,692110.327921
2018-11-01,985332.971292,799.07063,17368.304045,37766.393247,337346.65144,34565.752505,78211.740862,5566497.135477,744280.698397,427846.17186699994,6388989.574736,257438.37081,161947.991879,693515.230822
2018-12-01,1002593.653971,635.244015,21861.460306,45295.47518,357679.509117,36075.269109,75433.189548,5596536.32816251,760696.094588,461546.957727,6432665.61229851,268771.406029,173813.216139,706273.53905
2019-01-01,1010022.67333,689.368083,16568.894766,38902.025981,342150.535461,9094.49236,90173.588405,5618644.475231,767231.245819,407405.316651,6476049.309455,273001.094153,169823.449734,718751.598653
2019-02-01,1012774.02851,498.975404,17376.908694,37971.329407,340176.47336,10722.248819,86418.053117,5664414.41172708,776470.79539,406745.935684,6527303.260234079,282145.60957,175355.459289,726795.5876465
2019-03-01,1016288.062859,506.895595,12728.426701,34083.269394,357463.28867365,9448.050685,80518.227079,5696473.83050933,765706.000153,414229.93104865006,6542698.057741331,283179.110963,182022.642177,748852.869807
2019-04-01,1024129.626793,478.398407,16601.454147,36197.372583,364471.098463,9868.753335,76506.662525,5757201.934885,768998.720837,427617.076935,6602707.318247,290722.843523,165327.104403,722566.018471
2019-05-01,1038448.617723,376.087151,17247.338116,33541.130095,349787.580259,11995.462538,75512.208412,5819171.413944,738713.241414,412947.59815900004,6633396.863770001,289359.125086,165200.297755,714073.281184
2019-06-01,1058815.06514712,426.45694,16693.663252,33055.086022,348572.67392241996,12919.790125,79251.30022600004,5857906.06026751,738375.348453,411667.67026141996,6675532.70894651,298945.40977386,169719.380623,741902.456201
2019-07-01,1069293.026521,907.093867,12507.847682,33308.637285,344661.579503,9484.187999,70903.412602,5898697.814926,729069.631608,400869.346336,6698670.859136,311550.824802,204842.783848,754614.940818
2019-08-01,1076041.313038,436.620414,16611.020664,32582.835739,347880.216434,10136.997334,72083.961168,5915614.816687,732012.234089,407647.69058500003,6719711.011944,302935.571853,204199.951597,750589.445487
2019-09-01,1093591.99797717,387.890153,15572.45738,33253.403972,376163.227623,10050.444966,71865.607375,5918192.81401149,744481.246208,435427.42409399996,6734539.66759449,287768.56038,187081.62272343927,777481.598838
2019-10-01,1099651.233456,244.661681,17893.214587,35207.125191,343987.386533,9208.667617,71592.50196,5933128.53447893,773891.268797,406541.055609,6778612.30523593,292703.740888,174823.957558,774476.653538
2019-11-01,1115786.785336,251.975154,17470.090851,35294.563162,341820.852051,9361.87309,83557.542047,5972746.389035299,775789.214608,404199.354308,6832093.145690299,295209.020963,186097.636441,791480.236694
2019-12-01,1126850.208558,495.370379,16544.388903,43876.439713,371203.445849,10286.989917,71845.568523,6047242.921096,782939.213414,442406.634761,6902027.703033,294479.379875,187305.227155,788029.792827
2020-01-01,1146560.427019,490.191377,16181.443019,37910.565942,367213.375931,9968.083663,63456.909954,6142033.838997,784423.095144,431763.65993200004,6989913.844095,308335.473941,177972.756762,790871.173192
2020-02-01,1148648.53373,2013.239337,16189.985829,33583.397742,361333.973393,9647.73094,64311.058888,6215412.052955,791823.918573,422768.327241,7071547.030416001,324991.488911,222664.490959,816949.836656
2020-03-01,1158259.843694,3319.249649,14572.568676,35944.40553,396678.808284,10932.675888,63011.84971,6371191.813912029,823324.129815,461447.708027,7257527.793437029,316603.910445,240287.100655,820783.674246
2020-04-01,1168999.822312,2261.313528,14511.017889,34561.891208,394426.666009,11610.192402,55324.672213,6473595.4623864,838354.889603,457371.081036,7367275.024202401,351589.89193599997,234382.49344,823706.442354
2020-05-01,1170771.818129,2498.37873,13144.328085,32788.349138,393312.42235,12946.936344,52636.293033,6532035.926080471,813784.1139696,454690.41464699997,7398456.333083071,331781.432488,196849.91323,841701.290487
2020-06-01,1182623.524932,3332.446532,13032.524355,33135.344807,422254.50783,11247.487331,57872.942112,6602276.498327141,818212.987649,483002.310855,7478362.428088141,318367.415763,190728.778505,862672.618071
2020-07-01,1213703.072802,5375.887856,15486.409057,32210.704156,432091.250678,11384.376484,65240.507683,6693182.948130485,838739.854764,496548.628231,7597163.310577484,370794.361395,198952.882932,815569.678404
2020-08-01,1224856.817793,4318.332774,18745.335667,39852.99032,462353.416734,11800.453141,68921.822782,6799974.530438,885143.964991,537070.528636,7754040.318211,397859.300628,198080.11142,813071.762937
2020-09-01,1234530.94788,5028.417794,13545.732014,35092.893765,459381.722085,14587.0914,63839.186077,6969706.18960741,899892.930635,527635.857058,7933438.306319409,414134.322209,175323.854202,832272.890282
2020-10-01,1242313.496528,2179.11821,13599.530863,37647.388636,470844.343574,13337.165607,65456.483075,7080726.6881154105,909532.168329,537607.54689,8055715.339519411,446154.295013,190579.234427,831605.022473
2020-11-01,1251233.409355,3473.705342,12509.441787,38071.398254,476908.465975,13239.901273,67728.911427,7169633.31757241,934307.661688,544202.912631,8171669.89068741,452696.044407,202599.728056,856236.934188
2020-12-01,1258772.901775,2027.9047190000001,19735.920257,50645.182453,536109.6497607001,15497.906278,69628.495335,7318638.24929573,961001.045942,624016.5634677,8349267.79057273,455176.690562,197971.911578,840232.170957
2021-01-01,1292501.159189,1796.473936,14385.295008,29753.366861,537157.72649,13776.858308,82479.672283,7416884.88520496,1001773.545787,596869.720603,8501138.10327496,464983.711517,198633.530748,863190.474014
2021-02-01,1298563.423268,3356.214405,14447.35053,30899.535673,540844.012864,14801.015855,83609.117173,7506253.920996,1038688.098561,604348.129327,8628551.13673,478455.438581,193996.906229,862899.522951
2021-03-01,1294492.146607,2806.267411,13886.877823,31024.220939,559931.525922,16060.14694172262,85477.95128,7627769.886730609,1054961.35930841,623709.0390367225,8768209.19731902,477153.05867465003,189651.17629496,888006.9407662153
2021-04-01,1313023.016546,2726.218053,14626.902925,28102.247677,559984.568475,16491.76971184,85663.869385,7700444.82801182,1097985.55729444,621931.70684184,8884094.25469126,485949.246183,177590.368012,853232.93902463
